date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,60,62,66,0,58,52,58,56,64,58,0
09-01-05,60,62,66,0,58,53,57,56,64,58,0
09-02-05,60,62,66,0,58,52,58,56,64,57,0
09-03-05,60,62,66,0,58,52,58,57,64,58,0
09-04-05,60,62,66,0,58,53,57,57,64,57,0
09-05-05,60,62,66,0,58,53,58,57,64,57,0
09-06-05,60,62,66,0,58,53,58,56,64,57,0
09-07-05,60,63,66,0,58,53,58,57,64,58,0
09-08-05,60,62,66,0,58,52,58,57,64,57,0
09-09-05,60,62,67,0,58,53,57,57,64,58,0
09-10-05,60,62,66,0,58,53,58,56,64,57,0
09-11-05,60,62,66,0,58,53,58,56,64,58,0
09-12-05,60,62,66,0,58,53,58,56,64,58,0
09-13-05,60,62,66,0,58,52,57,56,64,57,0
09-14-05,60,62,66,0,58,53,57,56,64,57,0
09-15-05,61,62,66,0,58,53,58,56,65,58,31
09-16-05,59,62,66,0,58,54,57,56,64,58,38
09-17-05,61,62,66,0,58,52,57,57,64,58,33
09-18-05,49,62,66,0,58,52,58,0,64,58,32
09-19-05,35,62,66,0,58,52,57,0,65,58,36
09-20-05,33,63,67,0,57,51,57,0,64,58,0
09-21-05,0,61,67,0,57,53,58,0,64,58,39
09-22-05,0,62,67,0,56,55,33,0,66,58,39
09-23-05,33,62,67,0,57,53,32,0,66,59,34
09-24-05,33,42,46,0,45,54,33,0,48,42,33
