date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,53,60,66,58,0,63,56,47,63,55,0
09-01-05,52,60,67,58,0,63,55,47,63,55,0
09-02-05,53,60,67,58,0,64,57,49,63,55,0
09-03-05,52,60,66,58,0,64,56,48,64,55,0
09-04-05,52,60,67,58,0,64,56,49,63,55,0
09-05-05,52,60,67,58,0,64,57,48,63,54,0
09-06-05,52,60,67,58,0,64,56,47,63,55,0
09-07-05,52,60,66,58,0,64,57,48,63,55,0
09-08-05,52,60,67,58,0,64,55,47,63,55,0
09-09-05,52,60,66,58,0,64,55,47,63,55,0
09-10-05,52,60,67,58,0,64,57,48,63,54,0
09-11-05,52,60,66,58,0,64,56,46,63,55,0
09-12-05,53,60,67,58,0,63,56,47,63,55,0
09-13-05,52,60,66,58,0,64,56,47,63,54,0
09-14-05,52,59,66,58,0,64,55,48,63,55,0
09-15-05,52,60,66,58,0,64,56,48,63,55,32
09-16-05,51,60,66,58,0,64,56,48,63,55,39
09-17-05,53,60,66,58,0,64,57,47,62,55,32
09-18-05,48,60,67,58,0,64,56,0,63,55,0
09-19-05,32,60,66,58,0,64,57,0,63,53,34
09-20-05,39,57,66,57,0,64,56,0,64,55,0
09-21-05,0,59,66,57,0,64,56,0,63,54,37
09-22-05,0,60,67,56,0,64,38,0,57,55,34
09-23-05,34,59,67,57,0,64,32,0,58,54,39
09-24-05,40,57,68,44,0,64,34,0,61,54,34
09-25-05,0,59,66,0,0,64,32,0,50,57,33
09-26-05,33,61,66,0,0,64,36,0,32,58,33
09-27-05,0,61,66,0,0,63,38,0,0,35,0
09-28-05,32,60,66,0,0,63,0,0,36,34,33
09-29-05,0,62,66,0,0,62,0,0,36,41,35
09-30-05,0,60,66,0,0,63,0,0,42,46,0
09-31-05,0,33,40,0,0,38,0,0,32,0,0
09-32-05,32,32,40,0,0,41,0,0,32,32,0
09-33-05,0,0,40,0,0,33,32,0,36,35,0
09-34-05,0,0,33,0,0,33,0,0,0,36,0
09-35-05,0,38,37,0,0,37,0,0,0,32,35
09-36-05,0,0,38,0,0,36,0,0,35,32,33
09-37-05,0,0,33,0,0,35,33,0,39,34,32
09-38-15,0,36,0,0,0,0,33,0,0,0,0
09-39-05,35,42,0,0,0,0,36,0,33,0,0
09-40-05,32,35,0,0,0,0,34,0,0,0,32
09-41-05,0,33,32,0,0,0,40,0,32,32,0
09-42-05,0,44,0,0,0,0,0,0,0,0,0
09-43-05,43,0,0,0,0,33,54,0,47,38,0
09-44-05,0,0,32,0,0,0,40,0,0,0,33
09-45-05,0,0,34,0,0,0,32,0,0,45,0
09-46-05,0,0,32,0,0,0,34,0,0,45,0
09-47-05,0,32,32,0,0,32,32,0,35,39,37
09-48-05,0,0,32,0,0,0,0,0,0,40,0
09-49-05,0,0,33,0,0,32,0,0,32,35,0
09-50-05,0,32,32,0,0,0,0,0,0,34,0
09-51-05,0,0,0,0,0,0,0,0,0,43,34
09-52-05,0,0,32,0,0,0,0,0,32,40,34
09-53-05,0,0,34,0,0,32,0,0,32,45,35
09-54-05,0,0,0,0,0,0,33,0,0,35,36
09-55-05,0,0,0,0,0,0,0,0,33,0,0
09-56-05,0,0,0,0,0,0,32,0,0,0,0
09-57-05,0,0,0,0,0,0,0,0,32,34,0
09-58-05,0,0,0,0,0,32,32,0,0,33,0
09-59-05,0,0,0,0,0,32,0,0,32,34,0
10-00-35,0,0,0,0,0,0,0,0,35,0,0
10-01-05,0,0,0,0,0,0,0,0,34,32,0
10-02-05,0,0,0,0,0,0,33,0,32,34,0
10-03-05,0,0,0,0,0,46,0,0,0,43,32
10-04-05,0,0,0,0,0,32,0,0,33,35,0
10-05-15,0,47,0,0,0,0,0,0,0,0,0
10-06-05,0,34,0,0,0,0,0,0,0,0,0
10-07-05,0,35,0,0,0,0,0,0,0,0,0
10-09-15,0,0,0,0,0,32,0,0,0,0,0
10-10-05,0,0,0,0,0,33,0,0,32,0,33
10-11-05,0,0,0,0,0,0,0,0,0,50,0
