date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin
09-00-05,50,47,51,57,55,41,64,57,57,0,0
09-01-05,49,47,51,57,55,39,64,58,57,0,0
09-02-05,49,47,52,57,55,40,64,58,57,0,0
09-03-05,50,47,51,57,55,40,64,58,57,0,0
09-04-05,49,47,51,57,55,41,64,58,57,0,0
09-05-05,50,47,51,57,55,40,64,58,57,0,0
09-06-05,47,47,51,57,55,40,64,58,57,0,0
09-07-05,50,47,50,57,55,41,64,58,57,0,0
09-08-05,50,47,51,57,54,41,63,57,57,0,0
09-09-05,49,46,51,57,55,40,64,58,57,0,0
09-10-05,51,47,51,57,55,39,64,58,58,0,0
09-11-05,50,47,51,57,55,41,64,57,57,0,0
09-12-05,49,46,51,57,55,40,64,57,57,0,0
09-13-05,51,47,51,57,55,41,63,57,57,0,0
09-14-05,49,47,50,57,55,41,64,58,57,0,0
09-15-05,48,47,51,57,55,39,64,58,57,0,32
09-16-05,50,46,52,57,55,41,64,58,57,0,36
09-17-05,51,46,50,57,54,42,64,59,57,0,34
09-18-05,46,48,52,58,55,40,65,0,58,0,32
09-19-05,34,48,51,57,53,50,65,0,57,0,33
09-20-05,33,46,50,57,55,50,64,0,57,0,0
09-21-05,0,51,54,58,54,46,65,0,58,0,36
09-22-05,0,46,52,58,55,53,49,0,58,0,34
09-23-05,35,47,52,58,54,50,37,0,57,0,35
09-24-05,47,44,49,42,55,54,39,0,56,0,33
09-25-05,0,48,55,0,58,52,0,0,51,0,34
09-26-05,35,52,55,0,57,53,45,0,33,0,36
09-27-05,0,34,36,0,35,45,39,0,0,0,0
09-28-05,33,33,39,0,33,36,35,0,43,0,0
09-29-05,0,39,46,0,40,49,0,0,33,0,32
09-30-05,0,42,42,0,46,47,0,0,33,0,0
09-31-05,0,0,32,0,32,32,37,0,36,0,0
09-32-05,32,32,36,0,32,32,0,0,33,0,0
09-33-05,0,0,35,0,35,32,33,0,43,0,0
09-34-05,0,32,34,0,36,32,33,0,0,0,0
09-35-05,0,0,33,0,32,32,40,0,32,0,0
09-36-05,0,33,43,0,32,41,0,0,32,0,35
09-37-05,0,0,35,0,33,35,33,0,39,0,34
09-38-05,0,0,44,0,0,32,0,0,0,0,37
09-39-05,33,0,33,0,0,0,32,0,33,0,0
09-40-05,46,0,32,0,0,0,34,0,0,0,0
09-41-05,32,0,36,0,32,0,40,0,38,0,36
09-42-05,33,0,33,0,0,0,32,0,0,0,0
09-43-05,49,0,0,0,39,33,41,0,36,0,0
09-44-05,41,0,33,0,0,0,37,0,32,0,0
09-45-05,34,32,0,0,45,0,33,0,33,0,0
09-46-05,0,0,0,0,45,0,33,0,0,0,0
09-47-05,0,0,32,0,39,0,33,0,36,0,33
09-48-05,0,0,0,0,40,32,0,0,0,0,0
09-49-05,0,0,32,0,35,33,0,0,32,0,0
09-50-05,0,32,33,0,34,32,0,0,32,0,0
09-51-05,0,0,32,0,43,0,0,0,33,0,34
09-52-05,0,0,32,0,40,0,0,0,0,0,36
09-53-05,0,0,32,0,45,0,0,0,0,0,33
09-54-05,0,0,0,0,35,0,34,0,0,0,0
09-55-05,0,0,0,0,32,0,0,0,0,0,0
09-56-15,0,0,0,0,32,0,0,0,0,0,33
09-57-05,0,0,0,0,34,0,0,0,33,0,0
09-58-05,0,0,0,0,34,0,0,0,0,0,0
09-59-05,0,0,0,0,34,0,32,0,32,0,0
10-00-05,0,0,0,0,0,0,0,0,0,0,32
10-01-05,0,0,0,0,32,0,0,0,37,0,0
10-02-05,0,0,0,0,34,0,33,0,32,0,0
10-03-05,0,0,0,0,42,42,32,0,0,0,34
10-04-05,0,0,0,0,34,0,0,0,32,0,0
10-05-15,0,0,0,0,0,0,32,0,34,0,0
10-06-05,0,0,0,0,0,0,0,0,32,0,0
10-07-05,0,0,0,0,0,0,0,0,32,0,0
10-08-05,0,32,0,0,0,0,0,0,33,0,0
10-09-05,0,0,0,0,0,0,0,0,0,0,32
10-10-05,0,0,0,0,32,0,0,0,33,0,0
10-11-05,0,0,0,0,51,0,0,0,0,0,0
10-12-05,0,0,0,0,32,34,33,0,33,0,0
10-13-05,0,0,0,0,0,32,0,0,32,0,0
10-14-05,0,0,0,0,0,32,33,0,0,0,0
10-15-05,0,0,0,0,0,0,35,0,33,0,0
10-16-05,0,0,0,0,0,0,46,0,0,0,0
10-17-05,0,0,0,0,0,0,52,0,0,0,0
10-18-05,0,0,0,0,0,0,39,0,0,0,0
10-19-15,0,0,0,0,0,44,0,0,0,0,0
10-20-15,0,32,0,0,0,32,0,0,0,0,0
10-21-35,0,0,0,0,0,0,0,0,33,0,0
10-22-05,0,0,0,0,0,0,0,0,32,0,0
10-23-05,0,0,0,0,0,32,0,0,0,0,0
10-24-35,0,0,0,0,33,0,0,0,0,0,0
10-25-05,0,33,0,0,0,0,0,0,32,0,0
10-26-05,0,33,0,0,32,0,0,0,0,0,0
10-27-05,0,34,0,0,0,0,32,0,0,0,0
10-28-05,0,0,0,0,0,32,35,0,35,0,0
10-30-55,0,0,0,0,0,0,0,0,32,0,0
