date,Alice,Bob,Chris,Eliza,Fred,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
09-00-05,0,0,58,0,0,41,35,34,0,0,0,58,39,64,64,0
09-00-15,0,0,58,0,0,41,35,34,0,0,0,58,39,64,64,0
09-00-25,0,0,59,0,53,42,38,35,0,0,0,59,39,64,64,0
09-00-35,34,0,58,0,53,43,36,35,0,0,0,59,39,63,64,0
09-00-45,34,0,59,0,53,43,35,34,0,0,0,58,39,64,64,0
09-00-55,0,0,59,0,54,43,36,34,0,0,0,58,39,63,64,0
09-01-05,34,0,59,0,53,43,35,34,0,0,0,58,39,63,64,0
09-01-15,0,0,58,0,53,43,35,34,0,0,0,58,39,63,64,0
09-01-25,0,0,35,0,34,40,35,0,0,0,0,34,0,38,35,0
09-01-35,0,0,40,0,34,40,37,34,0,0,0,36,0,37,35,0
09-01-45,0,0,46,0,34,41,37,34,0,0,0,42,0,47,44,0
09-01-55,0,0,40,0,35,44,39,34,0,0,0,42,34,44,40,0
09-02-05,0,0,54,0,35,38,47,36,0,0,0,46,35,48,55,0
09-02-15,0,0,56,0,36,40,54,37,0,0,0,50,35,54,60,0
09-02-25,0,0,57,0,35,42,54,37,0,0,0,51,34,55,61,0
09-02-35,0,0,54,0,36,42,54,36,0,0,0,51,0,53,61,0
09-02-45,0,0,56,0,36,39,54,36,0,0,0,51,0,54,61,0
09-02-55,0,0,57,0,35,40,54,36,0,0,0,51,34,56,60,0
09-03-05,0,0,55,0,35,38,54,34,0,0,0,51,36,55,51,0
09-03-15,0,0,55,0,35,41,53,34,0,0,0,49,37,55,38,0
09-03-25,0,0,56,0,35,38,54,35,0,0,0,50,38,55,42,0
09-03-35,0,0,56,0,35,38,53,34,0,0,0,50,38,56,41,0
09-03-45,0,0,56,0,37,38,54,34,0,0,0,49,38,56,41,0
09-03-55,0,0,56,0,35,40,54,34,0,0,0,50,38,54,43,0
09-04-05,0,0,56,0,35,39,54,35,0,0,0,48,37,55,48,0
09-04-15,0,0,57,0,35,39,55,35,0,0,0,42,36,44,50,0
09-04-25,0,0,56,0,35,35,53,35,0,0,0,43,37,0,48,0
09-04-35,0,0,56,0,34,35,54,34,0,0,0,41,37,44,48,0
09-04-45,0,0,57,0,35,35,54,34,0,0,0,42,38,45,50,0
09-04-55,0,0,56,0,34,35,54,34,0,0,0,43,39,36,50,0
09-05-05,0,0,57,0,35,37,53,34,0,0,0,41,37,45,48,0
09-05-15,0,0,56,0,35,38,55,35,0,0,0,0,37,43,49,0
09-05-25,0,0,56,0,34,38,54,34,0,0,0,0,37,43,49,0
09-05-35,0,0,56,0,34,39,54,34,0,0,0,0,37,44,49,0
09-05-45,0,0,56,0,35,38,54,35,0,0,0,0,37,44,49,0
09-05-55,0,0,56,0,35,39,54,34,0,0,0,0,37,45,49,0
09-06-05,0,0,56,0,35,39,54,34,0,0,0,0,38,44,49,0
09-06-15,0,0,56,0,34,38,54,34,0,0,0,0,38,44,49,0
09-06-25,0,0,56,0,34,38,54,34,0,0,0,0,37,45,49,0
09-06-35,0,0,56,0,35,38,54,34,0,0,0,0,38,45,49,0
09-06-45,0,0,56,0,35,38,54,34,0,0,0,0,37,44,49,0
09-06-55,0,0,56,0,34,38,53,35,0,0,0,0,38,45,49,0
09-07-05,0,0,55,0,34,38,54,34,0,0,0,0,38,44,49,0
09-07-15,0,0,55,0,34,37,54,34,0,0,0,0,37,44,49,0
09-07-25,0,0,56,0,35,38,54,35,0,0,0,0,38,45,49,0
09-07-35,0,0,56,0,34,39,54,35,0,0,0,0,37,44,49,0
09-07-45,0,0,55,0,35,37,54,34,0,0,0,0,38,45,49,0
09-07-55,0,0,56,0,34,39,54,34,0,0,0,0,38,45,49,0
09-08-05,0,0,56,0,35,38,54,34,0,0,0,0,37,45,49,0
09-08-15,0,0,56,0,34,38,54,34,0,0,0,0,38,45,49,0
09-08-25,0,0,56,0,34,39,54,34,0,0,0,0,38,44,49,0
09-08-35,0,0,56,0,35,38,54,34,0,0,0,0,37,44,50,0
09-08-45,0,0,56,0,34,39,54,34,0,0,0,0,37,44,49,0
09-08-55,0,0,57,0,35,38,55,34,0,0,0,0,38,44,50,0
09-09-05,0,0,56,0,35,38,54,34,0,0,0,0,38,45,50,0
09-09-15,0,0,57,0,35,38,54,34,0,0,0,0,37,44,50,0
09-09-25,0,0,57,0,35,37,54,34,0,0,0,0,37,44,50,0
09-09-35,0,0,57,0,35,38,55,34,0,0,0,0,38,44,50,0
09-09-45,0,0,57,0,35,37,55,34,0,0,0,0,38,45,49,0
09-09-55,0,0,56,0,35,37,54,34,0,0,0,0,37,44,50,0
09-10-05,0,0,56,0,35,37,55,34,0,0,0,0,37,44,50,0
09-10-15,0,0,56,0,35,37,55,34,0,0,0,0,37,43,50,0
09-10-25,0,0,57,0,35,38,55,34,0,0,0,0,38,44,50,0
09-10-35,0,0,57,0,35,37,55,34,0,0,0,0,38,43,50,0
09-10-45,0,0,57,0,35,38,54,34,0,0,0,0,37,45,50,0
09-10-55,0,0,57,0,35,38,55,34,0,0,0,0,38,44,50,0
09-11-05,0,0,56,0,35,38,54,34,0,0,0,0,37,45,50,0
09-11-15,0,0,56,0,35,39,54,34,0,0,0,0,37,43,49,0
09-11-25,0,0,56,0,35,37,54,34,0,0,0,0,38,44,50,0
09-11-35,0,0,57,0,35,37,55,34,0,0,0,0,37,44,50,0
09-11-45,0,0,56,0,35,38,55,34,0,0,0,0,37,45,50,0
09-11-55,0,0,57,0,35,38,55,34,0,0,0,0,37,44,50,0
09-12-05,0,0,57,0,35,38,55,34,0,0,0,0,37,43,50,0
09-12-15,0,0,56,0,35,37,54,34,0,0,0,0,38,44,50,0
09-12-25,0,0,56,0,35,38,54,34,0,0,0,0,38,44,50,0
09-12-35,0,0,56,0,35,38,55,34,0,0,0,0,37,44,49,0
09-12-45,0,0,57,0,35,37,55,34,0,0,0,0,37,45,50,0
09-12-55,0,0,56,0,35,39,54,34,0,0,0,0,37,43,50,0
09-13-05,0,0,57,0,36,38,54,34,0,0,0,0,36,44,50,0
09-13-15,0,0,57,0,34,37,54,35,0,0,0,0,38,44,49,0
