date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin
09-10-05,0,41,44,32,41,49,49,48,45,0,39
09-10-15,0,48,51,41,52,62,68,63,55,0,59
09-10-25,0,60,60,42,61,75,80,74,62,0,67
09-10-35,0,59,60,44,62,75,80,74,61,0,68
09-10-45,0,60,59,46,61,75,80,74,61,0,68
09-10-55,0,59,60,39,61,75,80,74,61,0,68
09-11-05,0,59,60,44,61,75,80,74,61,0,68
09-11-15,0,60,58,46,60,75,80,74,59,0,67
09-11-25,0,60,59,45,62,75,80,74,61,0,68
09-11-35,0,60,60,40,61,75,80,74,61,0,68
09-11-45,0,60,60,42,61,75,80,74,62,0,67
09-11-55,0,60,59,39,60,75,80,74,60,0,68
09-12-05,0,60,59,41,60,75,80,74,60,0,66
09-12-15,0,55,59,43,61,75,80,74,61,0,67
09-12-25,0,55,57,45,60,75,79,74,57,0,67
09-12-35,0,48,59,46,60,75,79,74,56,0,67
09-12-45,0,35,59,45,60,75,79,74,56,0,66
09-12-55,32,33,59,46,60,75,79,73,56,0,66
09-13-05,0,33,60,43,60,75,79,74,58,0,66
09-13-15,0,33,60,37,61,75,80,74,60,0,67
09-13-25,0,33,61,44,61,75,80,74,59,0,67
09-13-35,0,34,58,61,61,75,80,74,56,0,67
09-13-45,0,34,59,61,60,75,80,74,48,0,67
09-13-55,0,32,59,61,61,75,80,74,40,0,67
09-14-05,0,34,59,60,61,75,80,74,43,0,68
09-14-15,0,34,59,62,61,75,80,74,45,0,67
09-14-25,0,37,59,60,60,75,80,74,42,0,68
09-14-35,0,34,59,61,60,75,80,74,40,0,67
09-14-45,0,34,59,60,60,75,80,74,40,0,66
09-14-55,0,35,59,60,46,75,50,74,41,0,67
09-15-05,0,34,56,62,48,74,44,74,35,0,66
09-15-15,0,34,57,62,45,75,52,74,36,0,66
09-15-25,0,34,57,49,46,74,46,74,36,0,66
09-15-35,0,34,54,52,47,74,46,74,36,0,66
09-15-45,0,36,41,53,49,75,47,74,37,0,66
09-15-55,0,34,42,57,46,75,42,74,37,0,67
09-16-05,0,36,41,56,39,46,44,74,37,0,66
09-16-15,0,33,39,39,36,41,43,42,41,0,37
09-16-25,0,35,53,44,37,41,57,47,47,0,38
09-16-35,0,36,57,44,43,50,62,45,42,0,42
09-16-45,0,33,54,39,44,49,60,48,37,0,41
09-16-55,0,34,53,44,38,47,56,52,50,0,46
09-17-05,0,34,45,43,43,48,45,43,44,0,42
09-17-15,0,42,51,43,37,37,51,47,56,0,39
09-17-25,0,53,62,43,46,49,57,52,56,0,39
09-17-35,0,52,62,41,48,52,58,52,56,0,36
09-17-45,0,53,62,38,48,54,58,53,56,0,0
