date,Alice,Bob,Chris,Dave,Eliza,Fred,George,Helen,Ivan,Kelly,Linda,Meg,Noah,Oscar,Peter
09-00-05,0,37,43,32,33,57,33,0,0,0,0,0,32,44,33,0
09-00-15,0,38,43,32,33,57,32,0,0,0,0,0,32,43,33,0
09-00-25,0,37,44,32,33,57,32,0,0,0,0,0,32,43,33,0
09-00-35,0,37,42,32,33,57,32,0,0,0,0,0,33,43,33,0
09-00-45,0,38,43,32,33,57,32,0,0,0,0,0,32,44,33,0
09-00-55,0,38,43,0,33,57,32,0,0,0,0,0,32,43,33,0
09-01-05,0,37,42,32,33,58,33,0,0,0,0,0,32,43,32,0
09-01-15,0,38,44,32,33,56,32,0,0,0,0,0,33,44,32,0
09-01-25,0,39,41,32,33,56,33,0,0,0,0,0,32,44,32,0
09-01-35,0,38,43,32,33,57,33,0,0,0,0,0,32,44,33,0
09-01-45,0,37,43,32,33,57,32,0,0,0,0,0,32,44,33,0
09-01-55,0,37,42,32,33,58,32,0,0,0,0,0,32,44,32,0
09-02-05,0,38,42,32,33,56,33,0,0,0,0,0,32,43,33,0
09-02-15,0,36,44,32,33,57,32,0,0,0,0,0,32,43,33,0
09-02-25,0,39,42,0,33,57,33,0,0,0,0,0,33,43,35,0
09-02-35,0,36,42,32,33,57,33,0,0,0,0,0,33,44,34,0
09-02-45,0,37,40,32,32,57,34,0,0,0,0,0,33,44,33,0
09-02-55,0,37,40,32,33,57,34,0,0,0,0,0,33,45,34,0
09-03-05,0,38,40,32,35,56,33,0,0,0,0,0,33,41,33,0
09-03-15,0,38,40,32,35,57,33,0,0,0,0,0,33,45,33,0
09-03-25,0,37,41,32,33,57,35,0,0,0,0,0,33,44,34,0
09-03-35,0,39,40,32,33,56,33,0,0,0,0,0,33,44,33,0
09-03-45,0,37,41,0,33,56,35,0,0,0,0,0,33,45,33,0
09-03-55,0,37,41,32,33,56,34,0,0,0,0,0,33,45,33,0
09-04-05,0,35,42,0,33,57,34,0,0,0,0,0,33,44,33,0
09-04-15,0,37,40,32,34,57,34,0,0,0,0,0,33,45,33,0
09-04-25,0,35,41,32,33,57,34,0,0,0,0,0,33,45,33,0
09-04-35,0,35,40,32,33,57,34,0,0,0,0,0,33,44,33,0
09-04-45,0,36,41,32,33,56,34,0,0,0,0,0,33,45,33,0
09-04-55,0,37,41,32,33,56,34,0,0,0,0,0,33,44,33,0
09-05-05,0,36,41,32,33,57,34,0,0,0,0,0,33,45,33,0
09-05-15,0,35,40,32,34,56,35,0,0,0,0,0,33,45,33,0
09-05-25,0,38,41,32,34,56,34,0,0,0,0,0,33,45,33,0
09-05-35,0,36,39,32,34,57,34,0,0,0,0,0,33,44,33,0
09-05-45,0,34,40,32,34,57,34,0,0,0,0,0,33,44,33,0
09-05-55,0,37,41,32,33,57,34,0,0,0,0,0,33,44,33,0
09-06-05,0,37,41,32,33,57,34,0,0,0,0,0,33,44,33,0
09-06-15,0,36,41,0,33,55,35,32,0,0,0,0,33,45,35,0
09-06-25,0,36,35,32,0,55,35,0,0,0,0,0,32,45,33,0
09-06-35,0,37,32,32,0,55,32,0,0,0,0,0,32,45,33,0
09-06-45,0,36,32,32,0,54,32,0,0,0,0,0,32,45,33,0
09-06-55,0,36,32,32,0,54,32,0,0,0,0,0,32,46,33,0
09-07-05,0,36,32,32,0,55,32,0,0,0,0,0,32,45,33,0
09-07-15,0,36,32,32,0,55,32,0,0,0,0,0,32,45,33,0
09-07-25,0,36,32,32,0,54,32,0,0,0,0,0,33,45,33,0
09-07-35,0,36,32,32,0,54,32,0,0,0,0,0,32,45,33,0
09-07-45,0,36,32,32,0,55,32,0,0,0,0,0,32,46,33,0
09-07-55,0,37,32,0,0,54,33,0,0,0,0,0,32,45,33,0
09-08-05,0,36,32,32,0,54,33,0,0,0,0,0,32,46,33,0
09-08-15,0,36,32,32,0,55,32,0,0,0,0,0,32,46,33,0
09-08-25,0,36,32,32,0,54,32,0,0,0,0,0,32,45,33,0
09-08-35,0,36,32,32,0,54,32,0,0,0,0,0,32,45,33,0
09-08-45,0,36,32,32,0,55,32,0,0,0,0,0,32,45,33,0
09-08-55,0,37,32,32,0,55,33,0,0,0,0,0,32,45,33,0
09-09-05,0,39,36,32,32,55,35,0,0,0,0,0,33,46,34,0
09-09-15,0,44,38,32,33,54,39,32,0,0,0,0,0,48,35,0
09-09-25,0,44,38,0,32,54,40,0,0,0,0,0,0,47,35,0
09-09-35,0,43,38,0,32,55,38,0,0,0,0,0,0,48,35,0
09-09-45,0,42,38,0,32,54,38,0,0,0,0,0,0,49,35,0
09-09-55,0,41,37,0,32,55,36,0,0,0,0,0,32,47,34,0
09-10-05,0,39,33,0,0,56,35,0,0,0,0,0,32,46,33,0
09-10-15,0,39,34,0,0,57,36,0,0,0,0,0,32,46,34,0
09-10-25,0,40,35,0,32,56,35,0,0,0,0,0,32,45,35,0
09-10-35,0,37,36,32,32,57,35,0,0,0,0,0,33,46,34,0
09-10-45,0,37,35,32,32,57,37,0,0,0,0,0,32,45,34,0
09-10-55,0,37,35,32,32,57,35,0,0,0,0,0,33,45,34,0
09-11-05,0,37,36,32,32,56,36,0,0,0,0,0,32,45,33,0
09-11-15,0,37,36,32,32,56,35,0,0,0,0,0,33,46,34,0
09-11-25,0,37,37,32,32,56,35,0,0,0,0,0,33,46,33,0
09-11-35,0,37,37,32,32,57,34,0,0,0,0,0,33,45,33,0
09-11-45,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-11-55,0,38,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-12-05,0,38,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-12-15,0,38,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-12-25,0,37,37,32,32,57,35,0,0,0,0,0,32,45,33,0
09-12-35,0,37,37,32,32,56,35,0,0,0,0,0,32,45,33,0
09-12-45,0,37,36,32,32,57,35,0,0,0,0,0,32,45,34,0
09-12-55,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-13-05,0,37,38,32,32,56,34,0,0,0,0,0,32,45,33,0
09-13-15,0,38,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-13-25,0,37,37,32,32,56,34,0,0,0,0,0,33,45,33,0
09-13-35,0,38,37,32,32,56,34,32,0,0,0,0,32,45,33,0
09-13-45,0,37,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-13-55,0,38,37,32,32,56,35,0,0,0,0,0,32,45,33,0
09-14-05,0,37,37,32,32,57,34,0,0,0,0,0,33,45,33,0
09-14-15,0,38,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-14-25,0,38,37,32,32,56,34,0,0,0,0,0,32,44,33,0
09-14-35,0,37,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-14-45,0,37,37,32,32,56,34,0,0,0,0,0,32,45,34,0
09-14-55,0,38,38,32,32,56,34,0,0,0,0,0,32,45,33,0
09-15-05,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-15-15,0,37,36,32,32,57,34,0,0,0,0,0,32,45,33,0
09-15-25,0,37,37,32,32,57,34,0,0,0,0,0,33,45,33,0
09-15-35,0,37,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-15-45,0,37,37,32,32,56,35,32,0,0,0,0,32,45,33,0
09-15-55,0,37,37,32,32,57,35,32,0,0,0,0,32,46,33,0
09-16-05,0,37,37,32,32,57,34,0,0,0,0,0,32,46,33,0
09-16-15,0,38,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-16-25,0,37,37,32,32,56,35,0,0,0,0,0,32,45,33,0
09-16-35,0,38,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-16-45,0,37,37,32,32,57,35,0,0,0,0,0,33,45,33,0
09-16-55,0,38,37,32,32,56,35,0,0,0,0,0,33,45,33,0
09-17-05,0,37,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-17-15,0,38,38,32,32,56,35,0,0,0,0,0,32,45,33,0
09-17-25,0,38,38,32,32,56,34,0,0,0,0,0,32,45,33,0
09-17-35,0,37,37,32,32,57,0,0,0,0,0,0,32,45,34,0
09-17-45,0,37,38,32,32,57,35,0,0,0,0,0,32,46,33,0
09-17-55,0,38,37,32,32,57,35,0,0,0,0,0,32,45,33,0
09-18-05,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-18-15,0,37,37,32,32,57,34,0,0,0,0,0,33,45,33,0
09-18-25,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-18-35,0,37,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-18-45,0,37,37,32,32,57,34,0,0,0,0,0,33,45,34,0
09-18-55,0,37,37,32,32,55,34,0,0,0,0,0,33,45,34,0
09-19-05,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-19-15,0,37,37,32,32,57,34,0,0,0,0,0,32,45,33,0
09-19-25,0,38,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-19-35,0,36,37,32,32,56,34,0,0,0,0,0,32,45,33,0
09-19-45,0,37,38,32,32,57,34,0,0,0,0,0,32,45,33,0
09-19-55,0,37,37,32,32,57,34,32,0,0,0,0,32,45,33,0
09-20-05,0,37,37,32,32,57,34,0,0,0,0,0,32,45,34,0
09-20-15,0,37,38,32,32,57,35,0,0,0,0,0,32,45,33,0
09-20-25,0,36,37,32,32,57,34,32,0,0,0,0,32,46,34,0
09-20-35,0,37,37,32,32,56,34,0,0,0,0,0,33,45,34,0
09-20-45,0,37,36,32,32,56,35,0,0,0,0,0,33,45,34,0
09-20-55,0,36,37,32,32,58,33,0,0,0,0,0,32,45,33,0
09-21-05,0,37,38,32,32,57,34,0,0,0,0,0,32,45,34,0
09-21-15,0,37,38,32,32,56,34,0,0,0,0,0,32,45,34,0
09-21-25,0,37,37,32,32,57,33,0,0,0,0,0,32,44,34,0
09-21-35,0,37,37,32,32,57,33,0,0,0,0,0,32,45,34,0
09-21-45,0,37,38,32,32,57,33,0,0,0,0,0,32,45,34,0
09-21-55,0,37,37,32,32,57,33,0,0,0,0,0,32,44,34,0
09-22-05,0,37,36,32,32,56,34,0,0,0,0,0,33,45,34,0
09-22-15,0,37,36,32,32,57,32,0,0,0,0,0,33,44,33,0
09-22-25,0,37,36,32,0,57,32,0,0,0,0,0,33,45,34,0
09-22-35,0,37,35,32,32,56,34,32,0,0,0,0,32,45,33,0
09-22-45,0,38,35,32,32,57,37,32,0,0,0,0,32,45,34,0
09-22-55,0,36,34,32,32,56,32,32,0,0,0,0,33,45,33,0
09-23-05,0,36,34,32,32,56,0,32,0,0,0,0,32,45,33,0
09-23-15,0,37,34,32,32,57,38,32,0,0,0,0,32,45,34,0
09-23-25,0,36,34,32,32,56,0,32,0,0,0,0,32,45,33,0
09-23-35,0,37,33,32,32,57,34,0,0,0,0,0,32,45,34,0
09-23-45,0,36,34,32,32,57,0,0,0,0,0,0,32,45,34,0
09-23-55,0,35,33,32,0,57,0,0,0,0,0,0,32,45,33,0
09-24-05,0,37,34,32,32,56,0,32,0,0,0,0,32,45,33,0
09-24-15,0,37,34,33,32,57,0,32,0,0,0,0,32,45,34,0
09-24-25,0,37,33,32,32,57,0,0,0,0,0,0,33,45,34,0
09-24-35,0,38,34,32,32,56,0,0,0,0,0,0,33,45,33,0
09-24-45,0,37,35,32,32,57,0,0,0,0,0,0,32,45,33,0
09-24-55,0,37,36,32,32,57,0,0,0,0,0,0,32,45,33,0
09-25-05,0,37,35,32,32,56,0,0,0,0,0,0,32,44,33,0
09-25-15,0,36,34,32,32,56,0,0,0,0,0,0,32,45,33,0
09-25-25,0,36,34,32,32,57,0,0,0,0,0,0,32,45,34,0
