date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,31,47,0,60,0,52,63,48,40,0,0,0,40,58,58,0
09-00-11,40,47,0,61,31,51,63,48,40,0,0,0,0,57,58,0
09-00-21,41,0,0,61,0,52,62,0,0,0,0,0,37,57,0,0
09-00-31,0,46,0,63,0,52,64,49,0,0,0,0,36,56,58,0
09-00-41,31,47,0,60,0,52,63,49,0,53,0,0,37,55,58,0
09-00-51,41,44,0,61,0,51,65,49,0,0,0,0,38,58,0,0
09-01-01,0,47,0,58,0,51,63,49,40,51,0,0,0,52,54,0
09-01-11,0,47,0,58,0,52,62,43,0,51,0,0,0,59,58,0
09-01-21,0,45,0,61,0,52,63,0,0,54,0,0,0,58,57,0
09-01-31,31,47,0,61,0,53,63,49,0,52,0,0,0,58,58,0
09-01-41,0,46,0,60,0,48,63,48,36,53,0,0,38,58,54,0
09-01-51,41,0,0,60,0,0,63,49,0,53,0,0,37,55,57,0
09-02-01,0,0,0,61,31,0,63,0,0,53,0,0,38,54,58,0
09-02-11,41,46,0,0,0,0,63,0,0,53,0,0,0,57,58,0
09-02-21,0,0,0,63,0,0,62,49,0,53,0,0,0,53,57,0
09-02-31,0,46,0,61,0,50,65,49,0,53,0,0,0,58,59,0
09-02-41,42,43,0,61,0,52,64,49,0,53,0,0,0,56,58,0
09-02-51,0,47,0,60,31,49,58,48,0,0,0,0,37,58,58,0
09-03-01,0,47,0,0,31,0,62,44,0,0,0,0,0,58,57,0
09-03-11,0,43,0,61,0,0,64,0,0,59,0,0,0,56,59,0
09-03-21,0,46,0,60,0,52,63,48,39,59,0,0,38,57,56,0
09-03-31,0,47,0,61,0,0,64,48,40,0,0,0,0,58,59,0
09-03-41,41,46,0,60,0,0,63,0,39,53,0,0,37,57,56,0
09-03-51,0,49,0,57,0,52,63,0,0,53,0,0,0,57,55,0
09-04-01,0,46,0,0,0,0,62,49,0,53,0,0,0,0,58,0
09-04-11,42,45,0,61,0,52,63,0,0,53,0,0,0,57,57,0
09-04-21,0,0,0,61,31,52,63,49,0,50,0,0,0,54,60,0
