date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,49,40,0,0,58,0,0,0,0,0,0,40,59,0
09-00-11,0,0,50,0,0,0,57,0,0,37,0,0,0,47,58,0
09-00-21,0,0,51,40,0,0,57,0,0,34,0,0,0,45,60,0
09-00-31,0,0,50,0,0,0,58,0,0,38,0,0,0,45,57,0
09-00-41,0,0,49,39,0,0,58,0,0,40,0,0,0,45,59,0
09-00-51,0,0,51,0,0,0,59,0,0,40,0,0,0,45,59,0
09-01-01,0,0,52,0,0,0,58,0,0,40,0,0,0,45,60,0
09-01-11,0,0,49,0,0,0,58,0,0,0,0,0,0,49,58,0
09-01-21,0,0,50,39,0,0,59,0,0,40,0,0,0,43,60,0
09-01-31,0,0,51,41,0,0,59,0,0,41,0,0,0,43,59,0
09-01-41,0,0,51,41,0,0,58,0,0,39,0,0,0,45,59,0
09-01-51,0,0,51,38,0,0,59,0,0,38,0,0,0,45,59,0
09-02-01,0,0,51,0,0,0,58,0,0,0,0,0,0,46,58,0
09-02-11,0,0,51,0,0,33,59,0,0,41,0,0,0,45,59,0
09-02-21,0,0,51,40,0,0,58,0,0,38,0,0,33,40,59,0
09-02-31,0,0,50,39,0,0,59,0,0,40,0,0,0,46,58,0
09-02-41,0,0,51,40,0,0,58,0,0,40,0,0,0,47,59,0
09-02-51,0,0,51,38,0,35,57,0,0,40,0,0,0,48,59,0
09-03-01,0,0,51,41,0,0,59,0,0,0,0,0,0,45,58,0
09-03-11,0,0,49,40,0,0,57,0,0,40,0,0,0,46,59,0
09-03-21,0,33,53,39,0,0,59,0,0,0,0,0,0,44,58,0
09-03-31,0,0,51,39,0,0,59,0,0,40,0,0,0,46,60,0
09-03-41,0,0,51,40,0,0,58,0,0,38,0,0,0,46,60,0
09-03-51,0,0,52,40,0,0,58,0,0,39,0,0,0,45,60,0
09-04-01,0,0,50,37,0,0,58,0,0,39,0,0,0,0,58,0
09-04-11,0,0,50,40,0,0,58,0,0,41,0,0,0,46,59,0
09-04-21,0,0,50,39,0,0,58,0,0,39,0,0,0,46,59,0
